"title","date","link"
"ZX Torsion W","4 399 грн.","https://www.adidas.net.ua/shoes/eg8814.html"
"Torsion TRDC W","4 399 грн.","https://www.adidas.net.ua/shoes/eh1574.html"
"Temper Run W","4 799 грн.","https://www.adidas.net.ua/shoes/eg8887.html"
"OZWEEGO W","3 999 грн.","https://www.adidas.net.ua/shoes/eh1197.html"
"UltraBOOST 20 W","6 499 грн.","https://www.adidas.net.ua/shoes/eg0727.html"
"Nite Jogger W","4 399 грн.","https://www.adidas.net.ua/shoes/eg3360.html"
"Deerupt Runner W","3 999 грн.","https://www.adidas.net.ua/shoes/eg5368.html"
"Magmur W","3 099 грн.","https://www.adidas.net.ua/shoes/ef5863.html"
"aSMC Boston","7 499 грн.","https://www.adidas.net.ua/shoes/ef2212.html"
"Superstar W","3 299 грн.","https://www.adidas.net.ua/shoes/fv3294.html"
"Superstar W","3 299 грн.","https://www.adidas.net.ua/shoes/fv3631.html"
"Superstar Bold W","4 399 грн.","https://www.adidas.net.ua/shoes/fw8423.html"
"FOCUS BreatheIn W","4 399 грн.","https://www.adidas.net.ua/shoes/fu6655.html"
"Chinese NY W","2 199 грн.","https://www.adidas.net.ua/apparel/fu1746.html"
"Daily Cap","649 грн.","https://www.adidas.net.ua/accessories/fm6786.html"
"Graphic W","1 199 грн.","https://www.adidas.net.ua/apparel/fm4340.html"
"Big Logo W","2 599 грн.","https://www.adidas.net.ua/apparel/fm2560.html"
"Big Logo W","2 599 грн.","https://www.adidas.net.ua/apparel/fm2580.html"
"Big Logo W","2 599 грн.","https://www.adidas.net.ua/apparel/fm2620.html"
"Fiorucci WB","3 499 грн.","https://www.adidas.net.ua/apparel/fl4137.html"
"Fiorucci","1 599 грн.","https://www.adidas.net.ua/apparel/fl4139.html"
"Fiorucci","2 199 грн.","https://www.adidas.net.ua/apparel/fl4140.html"
"Fiorucci","1 599 грн.","https://www.adidas.net.ua/apparel/fl4135.html"
"Fiorucci","1 299 грн.","https://www.adidas.net.ua/apparel/fl4143.html"
