"","country","date","cases","recovered","deaths","active_cases","day","month","y2019","y2020","flights"
"1","India",2020-01-22,0,0,0,0,22,1,1182,1240,0.953225806451613
"2","India",2020-01-23,0,0,0,0,23,1,1228,1212,1.01320132013201
"3","India",2020-01-24,0,0,0,0,24,1,1180,1239,0.952380952380952
"4","India",2020-01-25,0,0,0,0,25,1,1134,1225,0.925714285714286
"5","India",2020-01-26,0,0,0,0,26,1,1222,1198,1.02003338898164
"6","India",2020-01-27,0,0,0,0,27,1,1180,1131,1.04332449160035
"7","India",2020-01-28,0,0,0,0,28,1,1118,1139,0.981562774363477
"8","India",2020-01-29,0,0,0,0,29,1,1142,1215,0.939917695473251
"9","India",2020-01-30,1,0,0,1,30,1,1181,1201,0.983347210657785
"10","India",2020-01-31,1,0,0,1,31,1,1198,1237,0.968472109943411
"11","India",2020-02-01,1,0,0,1,1,2,1210,1204,1.00498338870432
"12","India",2020-02-02,2,0,0,2,2,2,1226,1197,1.02422723475355
"13","India",2020-02-03,3,0,0,3,3,2,1151,1122,1.02584670231729
"14","India",2020-02-04,3,0,0,3,4,2,1085,1142,0.950087565674256
"15","India",2020-02-05,3,0,0,3,5,2,1111,1193,0.931265716680637
"16","India",2020-02-06,3,0,0,3,6,2,1124,1152,0.975694444444444
"17","India",2020-02-07,3,0,0,3,7,2,1148,1230,0.933333333333333
"18","India",2020-02-08,3,0,0,3,8,2,1204,1187,1.01432181971356
"19","India",2020-02-09,3,0,0,3,9,2,1181,1173,1.00682011935209
"20","India",2020-02-10,3,0,0,3,10,2,915,1126,0.812611012433393
"21","India",2020-02-11,3,0,0,3,11,2,1316,1128,1.16666666666667
"22","India",2020-02-12,3,0,0,3,12,2,1104,1209,0.913151364764268
"23","India",2020-02-13,3,0,0,3,13,2,1175,1172,1.00255972696246
"24","India",2020-02-14,3,0,0,3,14,2,1149,1229,0.934906427990236
"25","India",2020-02-15,3,0,0,3,15,2,1216,1201,1.01248959200666
"26","India",2020-02-16,3,3,0,0,16,2,1211,1191,1.01679261125105
"27","India",2020-02-17,3,3,0,0,17,2,1185,1137,1.04221635883905
"28","India",2020-02-18,3,3,0,0,18,2,1123,1121,1.00178412132025
"29","India",2020-02-19,3,3,0,0,19,2,1144,1184,0.966216216216216
"30","India",2020-02-20,3,3,0,0,20,2,1159,1164,0.995704467353952
"31","India",2020-02-21,3,3,0,0,21,2,1182,1226,0.964110929853181
"32","India",2020-02-22,3,3,0,0,22,2,1276,1186,1.07588532883642
"33","India",2020-02-23,3,3,0,0,23,2,1195,1174,1.01788756388416
"34","India",2020-02-24,3,3,0,0,24,2,1189,1128,1.0540780141844
"35","India",2020-02-25,3,3,0,0,25,2,1131,1120,1.00982142857143
"36","India",2020-02-26,3,3,0,0,26,2,1112,1169,0.951240376390077
"37","India",2020-02-27,3,3,0,0,27,2,1122,1142,0.982486865148862
"38","India",2020-02-28,3,3,0,0,28,2,1139,1225,0.929795918367347
"39","India",2020-02-29,3,3,0,0,NA,NA,NA,NA,NA
"40","India",2020-03-01,3,3,0,0,1,3,1205,1171,1.02903501280956
"41","India",2020-03-02,5,3,0,2,2,3,1016,1096,0.927007299270073
"42","India",2020-03-03,5,3,0,2,3,3,1091,1062,1.02730696798493
"43","India",2020-03-04,28,3,0,25,4,3,1103,1129,0.976970770593446
"44","India",2020-03-05,30,3,0,27,5,3,1115,1098,1.01548269581056
"45","India",2020-03-06,31,3,0,28,6,3,1130,1143,0.988626421697288
"46","India",2020-03-07,34,3,0,31,7,3,1123,1095,1.02557077625571
"47","India",2020-03-08,39,3,0,36,8,3,1198,1080,1.10925925925926
"48","India",2020-03-09,43,3,0,40,9,3,1073,960,1.11770833333333
"49","India",2020-03-10,56,4,0,52,10,3,1184,969,1.2218782249742
"50","India",2020-03-11,62,4,1,57,11,3,1085,1037,1.04628736740598
"51","India",2020-03-12,73,4,1,68,12,3,1096,996,1.1004016064257
"52","India",2020-03-13,82,4,2,76,13,3,1139,992,1.14818548387097
"53","India",2020-03-14,102,4,2,96,14,3,1107,929,1.19160387513455
"54","India",2020-03-15,113,13,2,98,15,3,1191,867,1.37370242214533
"55","India",2020-03-16,119,13,2,104,16,3,1131,734,1.5408719346049
"56","India",2020-03-17,142,14,3,125,17,3,1122,643,1.74494556765163
"57","India",2020-03-18,156,14,3,139,18,3,1093,611,1.78887070376432
"58","India",2020-03-19,194,15,4,175,19,3,1049,550,1.90727272727273
"59","India",2020-03-20,244,20,5,219,20,3,1089,515,2.11456310679612
"60","India",2020-03-21,330,23,4,303,21,3,1118,501,2.2315369261477
"61","India",2020-03-22,396,27,7,362,22,3,1153,134,8.6044776119403
"62","India",2020-03-23,499,27,10,462,23,3,1116,72,15.5
"63","India",2020-03-24,536,40,10,486,24,3,1114,128,8.703125
"64","India",2020-03-25,657,43,12,602,25,3,1060,72,14.7222222222222
"65","India",2020-03-26,727,45,20,662,26,3,1048,51,20.5490196078431
"66","India",2020-03-27,887,73,20,794,27,3,1097,55,19.9454545454545
"67","India",2020-03-28,987,84,24,879,28,3,1088,63,17.2698412698413
"68","India",2020-03-29,1024,95,27,902,29,3,1129,49,23.0408163265306
"69","India",2020-03-30,1251,102,32,1117,30,3,1107,38,29.1315789473684
"70","India",2020-03-31,1397,123,35,1239,31,3,1278,60,21.3
